"time","POS_CLOSE","NEG_CLOSE"
0,4128.25,4235.5
1,4159,4265.25
2,4163.5,4249.25
3,4156,4216.75
4,4159,4214
5,4172.75,4213
6,4188.75,4208.75
7,4178.75,4214.75
8,4169.25,4222.75
9,4189,4211.25
10,4163.75,4198.5
11,4166,4194.5
12,4177,4188
13,4165,4183.25
14,4180.5,4187.25
15,4167.25,4194.25
16,4182.5,4189.25
17,4191.5,4183.25
18,4199.5,4178.5
19,4209.25,4173.25
20,4228,4169.25
21,4237,4162.75
22,4249.5,4147.25
23,4241,4146.5
24,4263,4148
25,4283,4132.75
